,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
5457,0.229*x_1_1,-0.339*x_1_1,-0.07*x_1_0*x_2_1,0.137*x_1_0*x_2_1,SIS,True
5458,0.295*x_1_1,-0.255*x_1_1,-0.144*x_1_0*x_2_1,0.19*x_1_0*x_2_1,SIS,True
5459,-x_1_0**3 + x_1_0 - x_1_1,0.55*x_1_0 + 0.038*x_1_1 + 0.291,0.674*x_1_0 - 0.674*x_2_0,0.0,FitzHughNagumo,True
5460,-x_1_0**3 + x_1_0 - x_1_1,0.724*x_1_0 + 0.014*x_1_1 + 0.323,1.063*x_1_0 - 1.063*x_2_0,0.0,FitzHughNagumo,True
5461,-x_1_0**3 + x_1_0 - x_1_1,0.738*x_1_0 + 0.013*x_1_1 + 0.285,0.915*x_1_0 - 0.915*x_2_0,0.0,FitzHughNagumo,True
5462,0.0,0.0,-0.109*x_1_0*x_2_1,0.13*x_1_0*x_2_1,SI,True
5463,0.0,0.0,-0.023*x_1_0*x_2_1,0.024*x_1_0*x_2_1,SI,True
5464,0.382*x_1_1,-0.131*x_1_1,-0.132*x_1_0*x_2_1,0.107*x_1_0*x_2_1,SIS,True
5465,0.0,0.0,-0.11*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SI,True
5466,0.0,0.0,-0.068*x_1_0*x_2_1,0.17*x_1_0*x_2_1,SI,True
5467,0.0,0.0,-0.091*x_1_0*x_2_1,0.192*x_1_0*x_2_1,SI,True
5468,0.0,0.0,-0.031*x_1_0*x_2_1,0.057*x_1_0*x_2_1,SI,True
5469,-x_1_0**3 + x_1_0 - x_1_1,0.376*x_1_0 + 0.032*x_1_1 + 0.326,1.392*x_1_0 - 1.392*x_2_0,0.0,FitzHughNagumo,True
5470,0.0,0.0,-0.07*x_1_0*x_2_1,0.197*x_1_0*x_2_1,SI,True
5471,-x_1_0**3 + x_1_0 - x_1_1,0.736*x_1_0 + 0.028*x_1_1 + 0.139,0.605*x_1_0 - 0.605*x_2_0,0.0,FitzHughNagumo,True
5472,0.292*x_1_1,-0.346*x_1_1,-0.093*x_1_0*x_2_1,0.027*x_1_0*x_2_1,SIS,True
5473,-x_1_0**3 + x_1_0 - x_1_1,0.399*x_1_0 + 0.037*x_1_1 + 0.444,1.278*x_1_0 - 1.278*x_2_0,0.0,FitzHughNagumo,True
5474,0.136*x_1_1,-0.349*x_1_1,-0.105*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SIS,True
5475,0.113*x_1_1,-0.22*x_1_1,-0.179*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SIS,True
5476,-x_1_0**3 + x_1_0 - x_1_1,0.92*x_1_0 + 0.037*x_1_1 + 0.138,1.485*x_1_0 - 1.485*x_2_0,0.0,FitzHughNagumo,True
5477,-x_1_0**3 + x_1_0 - x_1_1,0.105*x_1_0 + 0.036*x_1_1 + 0.168,0.779*x_1_0 - 0.779*x_2_0,0.0,FitzHughNagumo,True
5478,0.387*x_1_1,-0.107*x_1_1,-0.086*x_1_0*x_2_1,0.19*x_1_0*x_2_1,SIS,True
5479,-x_1_0**3 + x_1_0 - x_1_1,0.333*x_1_0 + 0.031*x_1_1 + 0.305,1.249*x_1_0 - 1.249*x_2_0,0.0,FitzHughNagumo,True
5480,0.199*x_1_1,-0.243*x_1_1,-0.045*x_1_0*x_2_1,0.061*x_1_0*x_2_1,SIS,True
5481,0.258*x_1_1,-0.316*x_1_1,-0.044*x_1_0*x_2_1,0.128*x_1_0*x_2_1,SIS,True
5482,-x_1_0**3 + x_1_0 - x_1_1,0.411*x_1_0 + 0.013*x_1_1 + 0.357,0.507*x_1_0 - 0.507*x_2_0,0.0,FitzHughNagumo,True
5483,0.102*x_1_1,-0.293*x_1_1,-0.099*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SIS,True
5484,0.0,0.0,-0.102*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SI,True
5485,0.0,0.0,-0.032*x_1_0*x_2_1,0.089*x_1_0*x_2_1,SI,True
5486,-x_1_0**3 + x_1_0 - x_1_1,0.491*x_1_0 + 0.049*x_1_1 + 0.207,0.947*x_1_0 - 0.947*x_2_0,0.0,FitzHughNagumo,True
5487,-x_1_0**3 + x_1_0 - x_1_1,0.179*x_1_0 + 0.029*x_1_1 + 0.19,0.604*x_1_0 - 0.604*x_2_0,0.0,FitzHughNagumo,True
5488,-x_1_0**3 + x_1_0 - x_1_1,0.969*x_1_0 + 0.022*x_1_1 + 0.384,1.264*x_1_0 - 1.264*x_2_0,0.0,FitzHughNagumo,True
5489,-x_1_0**3 + x_1_0 - x_1_1,0.213*x_1_0 + 0.037*x_1_1 + 0.337,0.897*x_1_0 - 0.897*x_2_0,0.0,FitzHughNagumo,True
5490,0.0,0.0,-0.024*x_1_0*x_2_1,0.136*x_1_0*x_2_1,SI,True
5491,0.168*x_1_1,-0.183*x_1_1,-0.183*x_1_0*x_2_1,0.066*x_1_0*x_2_1,SIS,True
5492,0.257*x_1_1,-0.185*x_1_1,-0.172*x_1_0*x_2_1,0.151*x_1_0*x_2_1,SIS,True
5493,0.137*x_1_1,-0.306*x_1_1,-0.067*x_1_0*x_2_1,0.026*x_1_0*x_2_1,SIS,True
5494,-x_1_0**3 + x_1_0 - x_1_1,0.609*x_1_0 + 0.018*x_1_1 + 0.252,0.559*x_1_0 - 0.559*x_2_0,0.0,FitzHughNagumo,True
5495,0.0,0.0,-0.177*x_1_0*x_2_1,0.179*x_1_0*x_2_1,SI,True
5496,-x_1_0**3 + x_1_0 - x_1_1,0.589*x_1_0 + 0.033*x_1_1 + 0.272,1.208*x_1_0 - 1.208*x_2_0,0.0,FitzHughNagumo,True
5497,-x_1_0**3 + x_1_0 - x_1_1,0.301*x_1_0 + 0.017*x_1_1 + 0.278,0.946*x_1_0 - 0.946*x_2_0,0.0,FitzHughNagumo,True
5498,0.0,0.0,-0.069*x_1_0*x_2_1,0.142*x_1_0*x_2_1,SI,True
5499,-x_1_0**3 + x_1_0 - x_1_1,0.281*x_1_0 + 0.036*x_1_1 + 0.397,0.769*x_1_0 - 0.769*x_2_0,0.0,FitzHughNagumo,True
5500,-x_1_0**3 + x_1_0 - x_1_1,0.212*x_1_0 + 0.047*x_1_1 + 0.383,0.707*x_1_0 - 0.707*x_2_0,0.0,FitzHughNagumo,True
5501,0.0,0.0,-0.167*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SI,True
5502,0.0,0.0,-0.033*x_1_0*x_2_1,0.172*x_1_0*x_2_1,SI,True
5503,0.0,0.0,-0.14*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SI,True
5504,0.0,0.0,-0.107*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SI,True
5505,0.0,0.0,-0.088*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SI,True
5506,-x_1_0**3 + x_1_0 - x_1_1,0.981*x_1_0 + 0.015*x_1_1 + 0.297,0.872*x_1_0 - 0.872*x_2_0,0.0,FitzHughNagumo,True
5507,0.0,0.0,-0.187*x_1_0*x_2_1,0.156*x_1_0*x_2_1,SI,True
5508,0.0,0.0,-0.157*x_1_0*x_2_1,0.093*x_1_0*x_2_1,SI,True
5509,-x_1_0**3 + x_1_0 - x_1_1,0.651*x_1_0 + 0.021*x_1_1 + 0.494,1.482*x_1_0 - 1.482*x_2_0,0.0,FitzHughNagumo,True
5510,0.382*x_1_1,-0.317*x_1_1,-0.054*x_1_0*x_2_1,0.103*x_1_0*x_2_1,SIS,True
5511,0.0,0.0,-0.047*x_1_0*x_2_1,0.02*x_1_0*x_2_1,SI,True
5512,-x_1_0**3 + x_1_0 - x_1_1,0.502*x_1_0 + 0.045*x_1_1 + 0.137,1.259*x_1_0 - 1.259*x_2_0,0.0,FitzHughNagumo,True
5513,0.0,0.0,-0.184*x_1_0*x_2_1,0.069*x_1_0*x_2_1,SI,True
5514,0.162*x_1_1,-0.345*x_1_1,-0.183*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SIS,True
5515,0.264*x_1_1,-0.207*x_1_1,-0.1*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SIS,True
5516,-x_1_0**3 + x_1_0 - x_1_1,0.731*x_1_0 + 0.032*x_1_1 + 0.395,0.812*x_1_0 - 0.812*x_2_0,0.0,FitzHughNagumo,True
5517,0.117*x_1_1,-0.138*x_1_1,-0.075*x_1_0*x_2_1,0.121*x_1_0*x_2_1,SIS,True
5518,0.0,0.0,-0.199*x_1_0*x_2_1,0.146*x_1_0*x_2_1,SI,True
5519,0.255*x_1_1,-0.194*x_1_1,-0.15*x_1_0*x_2_1,0.079*x_1_0*x_2_1,SIS,True
5520,-x_1_0**3 + x_1_0 - x_1_1,0.734*x_1_0 + 0.027*x_1_1 + 0.457,1.176*x_1_0 - 1.176*x_2_0,0.0,FitzHughNagumo,True
5521,0.134*x_1_1,-0.382*x_1_1,-0.091*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SIS,True
5522,-x_1_0**3 + x_1_0 - x_1_1,0.466*x_1_0 + 0.041*x_1_1 + 0.27,1.336*x_1_0 - 1.336*x_2_0,0.0,FitzHughNagumo,True
5523,-x_1_0**3 + x_1_0 - x_1_1,0.282*x_1_0 + 0.043*x_1_1 + 0.487,0.68*x_1_0 - 0.68*x_2_0,0.0,FitzHughNagumo,True
5524,0.0,0.0,-0.164*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SI,True
5525,0.149*x_1_1,-0.313*x_1_1,-0.19*x_1_0*x_2_1,0.053*x_1_0*x_2_1,SIS,True
5526,-x_1_0**3 + x_1_0 - x_1_1,0.961*x_1_0 + 0.023*x_1_1 + 0.488,0.633*x_1_0 - 0.633*x_2_0,0.0,FitzHughNagumo,True
5527,-x_1_0**3 + x_1_0 - x_1_1,0.241*x_1_0 + 0.013*x_1_1 + 0.247,1.028*x_1_0 - 1.028*x_2_0,0.0,FitzHughNagumo,True
5528,0.0,0.0,-0.186*x_1_0*x_2_1,0.033*x_1_0*x_2_1,SI,True
5529,-x_1_0**3 + x_1_0 - x_1_1,0.24*x_1_0 + 0.046*x_1_1 + 0.477,0.606*x_1_0 - 0.606*x_2_0,0.0,FitzHughNagumo,True
5530,0.0,0.0,-0.12*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SI,True
5531,0.103*x_1_1,-0.18*x_1_1,-0.17*x_1_0*x_2_1,0.138*x_1_0*x_2_1,SIS,True
5532,0.361*x_1_1,-0.127*x_1_1,-0.086*x_1_0*x_2_1,0.063*x_1_0*x_2_1,SIS,True
5533,0.0,0.0,-0.095*x_1_0*x_2_1,0.191*x_1_0*x_2_1,SI,True
5534,-x_1_0**3 + x_1_0 - x_1_1,0.722*x_1_0 + 0.047*x_1_1 + 0.226,1.326*x_1_0 - 1.326*x_2_0,0.0,FitzHughNagumo,True
5535,0.0,0.0,-0.128*x_1_0*x_2_1,0.024*x_1_0*x_2_1,SI,True
5536,-x_1_0**3 + x_1_0 - x_1_1,0.305*x_1_0 + 0.01*x_1_1 + 0.495,0.8*x_1_0 - 0.8*x_2_0,0.0,FitzHughNagumo,True
5537,0.297*x_1_1,-0.146*x_1_1,-0.099*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SIS,True
5538,0.329*x_1_1,-0.283*x_1_1,-0.132*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SIS,True
5539,-x_1_0**3 + x_1_0 - x_1_1,0.509*x_1_0 + 0.013*x_1_1 + 0.383,0.752*x_1_0 - 0.752*x_2_0,0.0,FitzHughNagumo,True
5540,-x_1_0**3 + x_1_0 - x_1_1,0.658*x_1_0 + 0.048*x_1_1 + 0.15,1.38*x_1_0 - 1.38*x_2_0,0.0,FitzHughNagumo,True
5541,0.131*x_1_1,-0.244*x_1_1,-0.115*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SIS,True
5542,0.0,0.0,-0.048*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SI,True
5543,-x_1_0**3 + x_1_0 - x_1_1,0.559*x_1_0 + 0.036*x_1_1 + 0.385,0.52*x_1_0 - 0.52*x_2_0,0.0,FitzHughNagumo,True
5544,-x_1_0**3 + x_1_0 - x_1_1,0.153*x_1_0 + 0.032*x_1_1 + 0.461,0.961*x_1_0 - 0.961*x_2_0,0.0,FitzHughNagumo,True
5545,0.0,0.0,-0.022*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SI,True
5546,-x_1_0**3 + x_1_0 - x_1_1,0.493*x_1_0 + 0.031*x_1_1 + 0.33,1.493*x_1_0 - 1.493*x_2_0,0.0,FitzHughNagumo,True
5547,-x_1_0**3 + x_1_0 - x_1_1,0.948*x_1_0 + 0.012*x_1_1 + 0.335,0.993*x_1_0 - 0.993*x_2_0,0.0,FitzHughNagumo,True
5548,0.291*x_1_1,-0.235*x_1_1,-0.103*x_1_0*x_2_1,0.072*x_1_0*x_2_1,SIS,True
5549,0.0,0.0,-0.121*x_1_0*x_2_1,0.15*x_1_0*x_2_1,SI,True
5550,0.124*x_1_1,-0.188*x_1_1,-0.059*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SIS,True
5551,-x_1_0**3 + x_1_0 - x_1_1,0.201*x_1_0 + 0.027*x_1_1 + 0.4,1.237*x_1_0 - 1.237*x_2_0,0.0,FitzHughNagumo,True
5552,0.0,0.0,-0.147*x_1_0*x_2_1,0.041*x_1_0*x_2_1,SI,True
5553,0.122*x_1_1,-0.389*x_1_1,-0.072*x_1_0*x_2_1,0.047*x_1_0*x_2_1,SIS,True
5554,-x_1_0**3 + x_1_0 - x_1_1,0.254*x_1_0 + 0.038*x_1_1 + 0.314,0.88*x_1_0 - 0.88*x_2_0,0.0,FitzHughNagumo,True
5555,0.204*x_1_1,-0.17*x_1_1,-0.176*x_1_0*x_2_1,0.024*x_1_0*x_2_1,SIS,True
5556,0.0,0.0,-0.094*x_1_0*x_2_1,0.087*x_1_0*x_2_1,SI,True
5557,0.285*x_1_1,-0.3*x_1_1,-0.157*x_1_0*x_2_1,0.086*x_1_0*x_2_1,SIS,True
5558,0.0,0.0,-0.153*x_1_0*x_2_1,0.036*x_1_0*x_2_1,SI,True
5559,0.129*x_1_1,-0.218*x_1_1,-0.126*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SIS,True
5560,0.317*x_1_1,-0.319*x_1_1,-0.09*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SIS,True
5561,0.0,0.0,-0.139*x_1_0*x_2_1,0.122*x_1_0*x_2_1,SI,True
5562,0.0,0.0,-0.119*x_1_0*x_2_1,0.11*x_1_0*x_2_1,SI,True
5563,-x_1_0**3 + x_1_0 - x_1_1,0.663*x_1_0 + 0.012*x_1_1 + 0.166,0.754*x_1_0 - 0.754*x_2_0,0.0,FitzHughNagumo,True
5564,0.36*x_1_1,-0.189*x_1_1,-0.038*x_1_0*x_2_1,0.169*x_1_0*x_2_1,SIS,True
5565,0.0,0.0,-0.18*x_1_0*x_2_1,0.191*x_1_0*x_2_1,SI,True
5566,0.168*x_1_1,-0.391*x_1_1,-0.192*x_1_0*x_2_1,0.106*x_1_0*x_2_1,SIS,True
5567,0.0,0.0,-0.121*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SI,True
5568,0.158*x_1_1,-0.289*x_1_1,-0.191*x_1_0*x_2_1,0.176*x_1_0*x_2_1,SIS,True
5569,-x_1_0**3 + x_1_0 - x_1_1,0.818*x_1_0 + 0.013*x_1_1 + 0.409,1.327*x_1_0 - 1.327*x_2_0,0.0,FitzHughNagumo,True
5570,-x_1_0**3 + x_1_0 - x_1_1,0.282*x_1_0 + 0.014*x_1_1 + 0.283,1.277*x_1_0 - 1.277*x_2_0,0.0,FitzHughNagumo,True
5571,-x_1_0**3 + x_1_0 - x_1_1,0.547*x_1_0 + 0.049*x_1_1 + 0.461,1.332*x_1_0 - 1.332*x_2_0,0.0,FitzHughNagumo,True
5572,0.0,0.0,-0.034*x_1_0*x_2_1,0.147*x_1_0*x_2_1,SI,True
5573,0.0,0.0,-0.197*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SI,True
5574,-x_1_0**3 + x_1_0 - x_1_1,0.253*x_1_0 + 0.012*x_1_1 + 0.314,1.498*x_1_0 - 1.498*x_2_0,0.0,FitzHughNagumo,True
5575,-x_1_0**3 + x_1_0 - x_1_1,0.83*x_1_0 + 0.026*x_1_1 + 0.438,0.688*x_1_0 - 0.688*x_2_0,0.0,FitzHughNagumo,True
5576,0.0,0.0,-0.177*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SI,True
5577,0.181*x_1_1,-0.228*x_1_1,-0.199*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SIS,True
5578,-x_1_0**3 + x_1_0 - x_1_1,0.149*x_1_0 + 0.014*x_1_1 + 0.143,1.309*x_1_0 - 1.309*x_2_0,0.0,FitzHughNagumo,True
5579,0.386*x_1_1,-0.265*x_1_1,-0.157*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SIS,True
5580,-x_1_0**3 + x_1_0 - x_1_1,0.463*x_1_0 + 0.021*x_1_1 + 0.28,0.712*x_1_0 - 0.712*x_2_0,0.0,FitzHughNagumo,True
5581,0.169*x_1_1,-0.166*x_1_1,-0.112*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SIS,True
5582,0.0,0.0,-0.134*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SI,True
5583,0.0,0.0,-0.081*x_1_0*x_2_1,0.106*x_1_0*x_2_1,SI,True
5584,-x_1_0**3 + x_1_0 - x_1_1,0.968*x_1_0 + 0.021*x_1_1 + 0.325,1.299*x_1_0 - 1.299*x_2_0,0.0,FitzHughNagumo,True
5585,0.185*x_1_1,-0.108*x_1_1,-0.039*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SIS,True
5586,0.182*x_1_1,-0.192*x_1_1,-0.16*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SIS,True
5587,0.145*x_1_1,-0.387*x_1_1,-0.194*x_1_0*x_2_1,0.188*x_1_0*x_2_1,SIS,True
5588,-x_1_0**3 + x_1_0 - x_1_1,0.853*x_1_0 + 0.018*x_1_1 + 0.36,1.378*x_1_0 - 1.378*x_2_0,0.0,FitzHughNagumo,True
5589,0.0,0.0,-0.078*x_1_0*x_2_1,0.092*x_1_0*x_2_1,SI,True
5590,0.0,0.0,-0.104*x_1_0*x_2_1,0.131*x_1_0*x_2_1,SI,True
5591,0.253*x_1_1,-0.156*x_1_1,-0.161*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SIS,True
5592,-x_1_0**3 + x_1_0 - x_1_1,0.921*x_1_0 + 0.011*x_1_1 + 0.212,1.279*x_1_0 - 1.279*x_2_0,0.0,FitzHughNagumo,True
5593,0.107*x_1_1,-0.122*x_1_1,-0.175*x_1_0*x_2_1,0.119*x_1_0*x_2_1,SIS,True
5594,0.0,0.0,-0.181*x_1_0*x_2_1,0.193*x_1_0*x_2_1,SI,True
5595,0.0,0.0,-0.11*x_1_0*x_2_1,0.054*x_1_0*x_2_1,SI,True
5596,0.0,0.0,-0.128*x_1_0*x_2_1,0.048*x_1_0*x_2_1,SI,True
5597,0.196*x_1_1,-0.389*x_1_1,-0.17*x_1_0*x_2_1,0.165*x_1_0*x_2_1,SIS,True
5598,0.0,0.0,-0.068*x_1_0*x_2_1,0.025*x_1_0*x_2_1,SI,True
5599,0.0,0.0,-0.134*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SI,True
5600,-x_1_0**3 + x_1_0 - x_1_1,0.219*x_1_0 + 0.032*x_1_1 + 0.225,0.934*x_1_0 - 0.934*x_2_0,0.0,FitzHughNagumo,True
5601,0.127*x_1_1,-0.125*x_1_1,-0.022*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SIS,True
5602,0.199*x_1_1,-0.151*x_1_1,-0.122*x_1_0*x_2_1,0.067*x_1_0*x_2_1,SIS,True
5603,0.0,0.0,-0.15*x_1_0*x_2_1,0.077*x_1_0*x_2_1,SI,True
5604,0.371*x_1_1,-0.366*x_1_1,-0.071*x_1_0*x_2_1,0.186*x_1_0*x_2_1,SIS,True
5605,0.201*x_1_1,-0.212*x_1_1,-0.096*x_1_0*x_2_1,0.103*x_1_0*x_2_1,SIS,True
5606,-x_1_0**3 + x_1_0 - x_1_1,0.454*x_1_0 + 0.014*x_1_1 + 0.112,1.072*x_1_0 - 1.072*x_2_0,0.0,FitzHughNagumo,True
5607,0.0,0.0,-0.135*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SI,True
5608,-x_1_0**3 + x_1_0 - x_1_1,0.783*x_1_0 + 0.048*x_1_1 + 0.47,0.539*x_1_0 - 0.539*x_2_0,0.0,FitzHughNagumo,True
5609,0.353*x_1_1,-0.299*x_1_1,-0.079*x_1_0*x_2_1,0.021*x_1_0*x_2_1,SIS,True
5610,-x_1_0**3 + x_1_0 - x_1_1,0.55*x_1_0 + 0.025*x_1_1 + 0.273,0.9*x_1_0 - 0.9*x_2_0,0.0,FitzHughNagumo,True
5611,0.0,0.0,-0.065*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SI,True
5612,-x_1_0**3 + x_1_0 - x_1_1,0.213*x_1_0 + 0.022*x_1_1 + 0.13,1.191*x_1_0 - 1.191*x_2_0,0.0,FitzHughNagumo,True
5613,-x_1_0**3 + x_1_0 - x_1_1,0.517*x_1_0 + 0.035*x_1_1 + 0.251,0.843*x_1_0 - 0.843*x_2_0,0.0,FitzHughNagumo,True
5614,-x_1_0**3 + x_1_0 - x_1_1,0.344*x_1_0 + 0.034*x_1_1 + 0.426,1.168*x_1_0 - 1.168*x_2_0,0.0,FitzHughNagumo,True
5615,-x_1_0**3 + x_1_0 - x_1_1,0.359*x_1_0 + 0.013*x_1_1 + 0.464,0.81*x_1_0 - 0.81*x_2_0,0.0,FitzHughNagumo,True
5616,0.0,0.0,-0.062*x_1_0*x_2_1,0.027*x_1_0*x_2_1,SI,True
5617,0.314*x_1_1,-0.363*x_1_1,-0.034*x_1_0*x_2_1,0.059*x_1_0*x_2_1,SIS,True
5618,-x_1_0**3 + x_1_0 - x_1_1,0.28*x_1_0 + 0.024*x_1_1 + 0.481,1.1*x_1_0 - 1.1*x_2_0,0.0,FitzHughNagumo,True
5619,-x_1_0**3 + x_1_0 - x_1_1,0.336*x_1_0 + 0.024*x_1_1 + 0.485,0.958*x_1_0 - 0.958*x_2_0,0.0,FitzHughNagumo,True
5620,0.0,0.0,-0.079*x_1_0*x_2_1,0.2*x_1_0*x_2_1,SI,True
5621,0.326*x_1_1,-0.154*x_1_1,-0.038*x_1_0*x_2_1,0.174*x_1_0*x_2_1,SIS,True
5622,-x_1_0**3 + x_1_0 - x_1_1,0.956*x_1_0 + 0.03*x_1_1 + 0.343,1.259*x_1_0 - 1.259*x_2_0,0.0,FitzHughNagumo,True
5623,0.0,0.0,-0.197*x_1_0*x_2_1,0.156*x_1_0*x_2_1,SI,True
5624,0.0,0.0,-0.124*x_1_0*x_2_1,0.121*x_1_0*x_2_1,SI,True
5625,0.149*x_1_1,-0.356*x_1_1,-0.096*x_1_0*x_2_1,0.155*x_1_0*x_2_1,SIS,True
5626,0.0,0.0,-0.147*x_1_0*x_2_1,0.05*x_1_0*x_2_1,SI,True
5627,0.0,0.0,-0.109*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SI,True
5628,0.149*x_1_1,-0.178*x_1_1,-0.044*x_1_0*x_2_1,0.059*x_1_0*x_2_1,SIS,True
5629,0.0,0.0,-0.117*x_1_0*x_2_1,0.141*x_1_0*x_2_1,SI,True
5630,0.0,0.0,-0.177*x_1_0*x_2_1,0.109*x_1_0*x_2_1,SI,True
5631,-x_1_0**3 + x_1_0 - x_1_1,0.72*x_1_0 + 0.048*x_1_1 + 0.272,0.957*x_1_0 - 0.957*x_2_0,0.0,FitzHughNagumo,True
5632,-x_1_0**3 + x_1_0 - x_1_1,0.118*x_1_0 + 0.046*x_1_1 + 0.29,0.904*x_1_0 - 0.904*x_2_0,0.0,FitzHughNagumo,True
5633,0.381*x_1_1,-0.163*x_1_1,-0.045*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
5634,0.0,0.0,-0.075*x_1_0*x_2_1,0.092*x_1_0*x_2_1,SI,True
5635,0.0,0.0,-0.199*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SI,True
5636,0.253*x_1_1,-0.127*x_1_1,-0.189*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SIS,True
5637,0.0,0.0,-0.048*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SI,True
5638,0.0,0.0,-0.025*x_1_0*x_2_1,0.185*x_1_0*x_2_1,SI,True
5639,0.312*x_1_1,-0.103*x_1_1,-0.178*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SIS,True
5640,0.0,0.0,-0.101*x_1_0*x_2_1,0.115*x_1_0*x_2_1,SI,True
5641,0.0,0.0,-0.028*x_1_0*x_2_1,0.147*x_1_0*x_2_1,SI,True
5642,0.383*x_1_1,-0.331*x_1_1,-0.2*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SIS,True
5643,0.0,0.0,-0.115*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SI,True
5644,0.0,0.0,-0.149*x_1_0*x_2_1,0.036*x_1_0*x_2_1,SI,True
5645,0.333*x_1_1,-0.263*x_1_1,-0.056*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
5646,0.0,0.0,-0.081*x_1_0*x_2_1,0.083*x_1_0*x_2_1,SI,True
5647,0.286*x_1_1,-0.259*x_1_1,-0.045*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SIS,True
5648,0.196*x_1_1,-0.207*x_1_1,-0.171*x_1_0*x_2_1,0.17*x_1_0*x_2_1,SIS,True
5649,0.132*x_1_1,-0.209*x_1_1,-0.038*x_1_0*x_2_1,0.199*x_1_0*x_2_1,SIS,True
5650,0.353*x_1_1,-0.218*x_1_1,-0.062*x_1_0*x_2_1,0.104*x_1_0*x_2_1,SIS,True
5651,-x_1_0**3 + x_1_0 - x_1_1,0.689*x_1_0 + 0.025*x_1_1 + 0.269,1.112*x_1_0 - 1.112*x_2_0,0.0,FitzHughNagumo,True
5652,-x_1_0**3 + x_1_0 - x_1_1,0.416*x_1_0 + 0.032*x_1_1 + 0.128,0.689*x_1_0 - 0.689*x_2_0,0.0,FitzHughNagumo,True
5653,0.0,0.0,-0.117*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SI,True
5654,0.376*x_1_1,-0.375*x_1_1,-0.191*x_1_0*x_2_1,0.067*x_1_0*x_2_1,SIS,True
5655,0.0,0.0,-0.14*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SI,True
5656,0.0,0.0,-0.12*x_1_0*x_2_1,0.162*x_1_0*x_2_1,SI,True
5657,0.129*x_1_1,-0.187*x_1_1,-0.176*x_1_0*x_2_1,0.196*x_1_0*x_2_1,SIS,True
5658,0.0,0.0,-0.172*x_1_0*x_2_1,0.188*x_1_0*x_2_1,SI,True
5659,0.109*x_1_1,-0.118*x_1_1,-0.037*x_1_0*x_2_1,0.157*x_1_0*x_2_1,SIS,True
5660,-x_1_0**3 + x_1_0 - x_1_1,0.978*x_1_0 + 0.013*x_1_1 + 0.385,0.774*x_1_0 - 0.774*x_2_0,0.0,FitzHughNagumo,True
5661,0.366*x_1_1,-0.123*x_1_1,-0.061*x_1_0*x_2_1,0.119*x_1_0*x_2_1,SIS,True
5662,-x_1_0**3 + x_1_0 - x_1_1,0.484*x_1_0 + 0.011*x_1_1 + 0.367,1.271*x_1_0 - 1.271*x_2_0,0.0,FitzHughNagumo,True
5663,0.0,0.0,-0.032*x_1_0*x_2_1,0.154*x_1_0*x_2_1,SI,True
